Account,date,daily_pnl,win_rate,avg_trade_size,avg_leverage,num_trades,long_short_ratio,sentiment,value,leverage_segment,frequency_segment,consistency_segment
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,0.4156136402977324,28304.44506318158,10.0,5777,0.8448275862068966,Fear,44.0,Low Leverage,Frequent,Consistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,436920.907007,0.4021808851828095,41153.69550032072,10.0,6236,1.2779401022644266,,,Low Leverage,Frequent,Consistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,1.0,525.47136,10.0,250,0.0,Greed,74.0,Low Leverage,Infrequent,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,0.2692307692307692,891.0710664335664,10.0,572,1.524229074889868,Fear,44.0,Low Leverage,Infrequent,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,212.60187,0.1111111111111111,568.6079738562091,10.0,153,0.12408759124087591,,,Low Leverage,Infrequent,Inconsistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,0.5148514851485149,16311.138465346536,10.0,202,1.0505050505050506,Greed,74.0,Low Leverage,Infrequent,Consistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,0.43991416309012876,8098.078723175966,10.0,932,0.471608832807571,Fear,44.0,Low Leverage,Infrequent,Consistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,3540.3708500000002,0.07894736842105263,1386.494692982456,10.0,456,0.7442748091603053,,,Low Leverage,Infrequent,Consistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,0.028639618138424822,2305.200429594272,10.0,419,0.02689486552567237,Greed,74.0,Low Leverage,Infrequent,Consistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,0.3961661341853035,2123.4002662406815,10.0,939,1.5683060109289617,Fear,44.0,Low Leverage,Infrequent,Consistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,9328.49,0.75,1269.3402777777778,10.0,72,2.8421052631578947,,,Low Leverage,Infrequent,Consistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,0.8240710292666886,3677.8091055573827,10.0,3041,0.8628291488058788,Greed,84.0,Low Leverage,Frequent,Consistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,0.16666666666666666,34.916666666666664,10.0,6,0.75,Neutral,50.0,Low Leverage,Frequent,Consistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,0.8208661417322834,2056.391348425197,10.0,1016,1.1546610169491525,Greed,74.0,Low Leverage,Frequent,Consistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,0.7985670419651996,2330.3033080859777,10.0,4885,0.9048732943469786,Fear,44.0,Low Leverage,Frequent,Consistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,17518.784011,0.8253968253968254,1134.6507724867724,10.0,945,2.2067796610169492,,,Low Leverage,Frequent,Consistent
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,0.4510939510939511,3643.361287001287,10.0,1554,0.7914746543778802,Fear,44.0,Low Leverage,Infrequent,Consistent
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,119.0,0.8,36540.202000000005,10.0,5,2.0,,,Low Leverage,Infrequent,Consistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,0.0,2333.2533333333336,10.0,15,15.0,Greed,74.0,Low Leverage,Frequent,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,0.28763089005235604,2249.731112565445,10.0,3056,0.47112608277189605,Fear,44.0,Low Leverage,Frequent,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,-363924.917628,0.5764705882352941,2113.4516666666664,10.0,1530,4.821292775665399,,,Low Leverage,Frequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,0.037037037037037035,933.2848148148149,10.0,54,5.875,Greed,74.0,Low Leverage,Infrequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,0.3401775804661487,6453.556398446171,10.0,1802,1.4631147540983607,Fear,44.0,Low Leverage,Infrequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,991.770272,0.2909090909090909,5808.497454545454,10.0,55,1.9473684210526316,,,Low Leverage,Infrequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,0.32545931758530183,772.3728871391077,10.0,3810,0.8104513064133017,Neutral,50.0,Low Leverage,Frequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,0.32427937915742794,1376.8141407982262,10.0,1804,0.5296610169491526,Greed,74.0,Low Leverage,Frequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,0.30739021777936454,658.3625776508391,10.0,5602,0.7787301587301587,Fear,44.0,Low Leverage,Frequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,-33193.569796,0.10100475938656796,843.5024510840825,10.0,3782,1.3599500935745477,,,Low Leverage,Frequent,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,0.07596685082872928,2936.1985911602205,10.0,724,7.734939759036145,Greed,74.0,Low Leverage,Infrequent,Consistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,0.3903846153846154,3430.149134615385,10.0,2080,1.4113557358053301,Fear,44.0,Low Leverage,Infrequent,Consistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-06-15,17381.164,0.016129032258064516,6983.216774193548,10.0,248,48.8,,,Low Leverage,Infrequent,Consistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,0.418665400142484,1636.15022559962,10.0,4211,1.3219404630650495,Greed,74.0,Low Leverage,Frequent,Consistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,0.32003450506793185,1157.8793541082598,10.0,9274,1.9491255961844196,Fear,44.0,Low Leverage,Frequent,Consistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,16807.35236,0.3136792452830189,1056.7010613207547,10.0,2120,2.184684684684685,,,Low Leverage,Frequent,Consistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,0.0,7877.326666666667,10.0,39,3.4444444444444446,Neutral,50.0,Low Leverage,Infrequent,Inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,0.5477031802120141,1684.2025795053005,10.0,283,0.7861635220125787,Greed,74.0,Low Leverage,Infrequent,Inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,0.8842105263157894,820.6771578947369,10.0,95,0.0,Fear,44.0,Low Leverage,Infrequent,Inconsistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,0.5526315789473685,3387.3391578947367,10.0,190,0.7850467289719626,Greed,74.0,Low Leverage,Infrequent,Consistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,0.2692307692307692,3072.9576923076925,10.0,182,2.66,Fear,44.0,Low Leverage,Infrequent,Consistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,38168.35486,0.39790575916230364,2484.57057591623,10.0,191,1.4935064935064934,,,Low Leverage,Infrequent,Consistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,0.2222222222222222,1862.9299999999998,10.0,9,2.3333333333333335,Greed,74.0,Low Leverage,Infrequent,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,0.3238095238095238,8441.060742857142,10.0,525,1.296943231441048,Fear,44.0,Low Leverage,Infrequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,0.2751677852348993,11034.799511025887,10.0,1043,0.8810810810810811,Greed,69.0,Low Leverage,Frequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,0.21879063719115735,7639.724411573472,10.0,3076,0.967391304347826,Greed,84.0,Low Leverage,Frequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,0.20998174071819842,2875.2178940961658,10.0,1643,1.6304,Neutral,50.0,Low Leverage,Frequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,0.5670347003154574,2166.171861198738,10.0,1268,0.1320249776984835,Greed,74.0,Low Leverage,Frequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,0.3910569105691057,1818.587241192412,10.0,7380,0.890625,Fear,44.0,Low Leverage,Frequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-06-15,102460.17164,0.17647058823529413,1989.5179256965946,10.0,323,0.21348314606741572,,,Low Leverage,Frequent,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,0.4386109962794543,22504.555828854896,10.0,4838,0.9583164710643464,Fear,44.0,Low Leverage,Frequent,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,0.46753185464841907,3210.7751864086836,10.0,21190,1.1199479791916767,Fear,44.0,Low Leverage,Frequent,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-06-15,6.593538,1.0,7.0200000000000005,10.0,2,0.0,,,Low Leverage,Frequent,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,0.15355805243445692,2725.7805992509366,10.0,267,0.2237442922374429,Greed,74.0,Low Leverage,Infrequent,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,0.3722297602894618,8103.972912709181,10.0,2211,0.9101899827288429,Fear,44.0,Low Leverage,Infrequent,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-06-15,-116594.595363,0.006134969325153374,12832.663680981595,10.0,163,1.2162162162162162,,,Low Leverage,Infrequent,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,0.5692603460487706,2693.2837964180917,10.0,9883,0.4552414605418139,Greed,74.0,Low Leverage,Frequent,Consistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,0.3848636073693295,1554.8373344339798,10.0,26651,0.8923601249644987,Fear,44.0,Low Leverage,Frequent,Consistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-06-15,24897.574309,0.363013698630137,1658.11421369863,10.0,3650,0.9236037934668072,,,Low Leverage,Frequent,Consistent
